date,pushNum,title,author
7/29,3,[問卦]連千毅是不是比較有大哥風範？,leo841102
7/29,4,Re:[問卦]明年被統的話，誰要負最大責任？,taipeixcity
7/29,9,[問卦]有沒有熱戀期最長可以多久的八卦,pttshit
7/29,5,[問卦]在公司當邊緣人該怎麼辦,e741000
7/29,,[問卦]有吃喝全靠公司的八卦嗎？,became
7/29,1,Re:[問卦]在迴轉壽司店吃了740夠稱肥宅了嗎？,RoroyaZoro
7/29,,Re:[問卦]全盛時期李小龍打得贏館長嗎?,ll6a
7/29,1,Re:[問卦]明年被統的話，誰要負最大責任？,posen2012
7/29,,[問卦]第一次覺得台北有那麼多香港人,curtpy
7/29,3,Re:[問卦]已婚的鄉民真的都不會介意老婆被人上過喔,moonmaker
7/29,,[問卦]大腸頭要配哪一家的芥末？（急）,sGuitar
7/29,,[問卦]香港怎麼都不拚死反抗?,zxc2331189
7/29,9,[問卦]大家支持的統一是哪一種？,yqyqkqkq
7/29,,[問卦]騙神明跟騙人民哪個比較過分,kai257437
7/29,1,Re:[問卦]明年被統的話，誰要負最大責任？,sss1234
7/29,9,Re:[問卦]自己20幾代，1代大概何時來台的R,q5212
7/29,,Re:[問卦]跟蘿莉四目相接？,redDest
7/29,2,[問卦]已婚的鄉民真的都不會介意老婆被人上過喔,speechless18
7/29,,[問卦]內衣那麼不舒服為什麼女生堅持要穿？,PaseIsGOOD
7/29,,Re:[問卦]蘋果產品是不是失去魔力了？,Gamblers5566
7/29,4,[問卦]現在小孩是不是不知道波霸原意是巨乳了？,TigerMask
7/29,,[問卦]付費防毒軟體哪個好用,hmenri
7/29,,[問卦]閉上眼睛看得到血管?,malindorothy
7/29,3,[問卦]福利熊打的贏館長嗎？,fidelity77
7/29,1,"[問卦]有司馬昭之心,路人皆知,卻司馬庫斯的風景",andrewkuo
7/29,,[問卦]自己20幾代，1代大概何時來台的R,AJhe0924
7/29,3,[問卦]中共是不是沒想到香港會爆發大規模抗議?,ruby00514
7/29,5,[問卦]為何還沒有職業選手向館長挑戰健力？,doreamon909
7/29,,Re:[問卦]郭采潔為何去大陸後就劣化,starcraftiii
7/29,3,Re:[問卦]明年被統的話，誰要負最大責任？,garry5566
7/29,,[問卦]台彩澄清：很多國家都隔半小時才開獎,Elsie1999
7/29,,Re:[問卦]明年被統的話，誰要負最大責任？,tml7415
7/29,,Re:[問卦]如何在大熱天西裝筆挺啊！？,dino23
7/29,,[問卦]跟蘿莉四目相接？,NCTUEE800808
7/29,4,Re:[問卦]明年被統的話，誰要負最大責任？,wsx7516twtw
7/29,,[問卦]郭采潔為何去大陸後就劣化,rialto
7/29,1,Re:[問卦]國小畢旅時帶什麼能成為班上焦點,teddy1209
7/29,2,Re:[問卦]中國解放軍鎮港時機？,SIK3
7/29,9,[問卦]音準可以練嗎？,axvbn
7/29,,[問卦]日本是不是掀起了中國熱?,MaInDog5566
7/29,,[問卦]撿到剛長毛的麻雀該怎麼處理,boyce0209
7/29,,Re:[問卦]中國解放軍鎮港時機？,yqyqkqkq
7/29,,Re:[問卦]蘋果產品是不是失去魔力了？,quartzr
7/29,3,Re:[問卦]是誰讓亡國感流行起來的？,gugugaga
7/29,9,[問卦]幾年前被FBI查封的「生物資源中心」，遭前探員爆料當時內部,ravager
7/29,3,Re:[問卦]明年被統的話，誰要負最大責任？,andycat5566
7/29,,"[問卦]有司馬昭之心,路人皆知,卻沒司馬遷之心",andrewkuo
7/29,,[問卦]笑咪咪的三角飯團?,freertos
7/29,,[問卦]珍珠奶茶台語怎麼說,kkes0001
7/29,1,Re:[問卦]中國解放軍鎮港時機？,wolver
7/29,4,[問卦]王力宏去哪了,weixiaoyo
7/29,3,[問卦]如果館長打死了吃屎真的沒法律責任嗎,ru30734
7/29,7,[問卦]賭俠的某個片段是不是被剪掉了,knightfat
7/29,7,Re:[問卦]香港獨立的話，中共會怎麼樣？,CORSA
7/29,,[問卦]如果鄉民中威力彩會怎麼回饋PTT?,autokey
7/29,2,Re:[問卦]明年被統的話，誰要負最大責任？,senma
7/29,,Re:[問卦]大家如果當總統會怎管理精障人士？,gankgf
7/29,3,Re:[問卦]中國解放軍鎮港時機？,epson5566
7/29,2,[問卦]如何確定家裡外面的好兄弟是肥宅?,wilson5566
7/29,,Re:[問卦]大家如果當總統會怎管理精障人士？,appledavid
7/29,,[問卦]只有七千塊能買什麼堪用的空拍機,botbank
7/29,,[問卦]祖先是戴潮春事件的西王可以幹嘛？,AtsuHiro
7/29,,[問卦]現在少子化很嚴重嗎,Oral
7/29,1,Re:[問卦]大家如果當總統會怎管理精障人士？,barrymagic
7/29,3,[問卦]發現缺錢少女怎麼辦？,NCTUEE800808
7/29,,[問卦]咒語講三次賺大錢,AngelsDemon
7/29,5,[問卦]蘋果產品是不是失去魔力了？,muse87131
7/29,7,Re:[問卦]斜槓是什麼意思？,CLV518
7/29,,Re:[問卦]如何在大熱天西裝筆挺啊！？,PAULJOE
7/29,,[問卦]為何珍奶在日本不用漢字用タピオカティー?,NARUTO
7/29,1,[問卦]有沒有側邊沖水馬桶用手或用腳的掛,rainbow7173
7/29,,[問卦]ARMANI的眼鏡很脆弱嗎?,odd5566
7/29,,Re:[問卦]買私菸的官員會不會變成世紀罪人？,Osuma
7/29,2,[問卦]女生會在意男生的高中學歷嗎?,athena1983
7/29,,[問卦]惡狼反串放羊的孩子都沒有人發現?,zalora
7/29,,Re:[問卦]中國解放軍鎮港時機？,rote
7/29,,[問卦]家裡換了4K電視第一個應該看什麼節目,hTCm10
7/29,1,[問卦]吃冰吃到別種口味你會勃然大怒嗎?,ymx3xc
7/29,5,[問卦]八仙過海是要去那裡？Σ(っﾟДﾟ；)っ,Qpera
7/29,,[問卦]香港人為什麼不能出武器來?,zxc2331189
7/29,,[問卦]為什麼你們大部分人都怕老闆？,liveforhappy
7/29,,Re:[問卦]蔣開穴是殺人魔頭?????,loveices
7/29,,Re:[問卦]明年被統的話，誰要負最大責任？,seigzion
7/29,,[問卦]頑game讓我們學到了什麼教訓？,blakedawes12
7/29,6,[問卦]為啥在星巴克都看不到麥書?484過氣了?,peterlin495
7/29,4,[問卦]文昌帝君是文組的嗎？,Apex88rs
7/29,8,[問卦]有沒有長榮這幾年打爆華航的八卦啊,stantheman
7/29,,[問卦]菊下樓主廚都不在了為啥還不會倒？,YaDianNa
7/29,,[問卦]電池沒電叫什麼？（急）,adl117980
7/29,1,[問卦]香港港口罷工不是更有效？,alaskaman
7/29,3,Re:[問卦]去中國讀書這麼屌嗎？,VdustR
7/29,5,[問卦]只會讀書,billkingFH
7/29,,Re:[問卦]冰淇淋紅茶，融化之後是?,weni302
7/29,,[問卦]斜槓是什麼意思？,wang1b
7/29,3,[問卦]台灣人都不太懂俄羅斯與中國真正關係？,HiyamaRen
7/29,,Re:[問卦]小馮接受了你的追蹤要求！,xzcb2008
7/29,,[問卦]在東京鐵塔第一次眺望,cloudlaba
7/29,,[問卦]土耳其人為何愛來比他落後的台灣發展？,popobang
7/29,2,[問卦]中國解放軍鎮港時機？,dearevan
7/29,1,[問卦]在112校區做什麼最專業？在線等,dvleo
7/29,7,[問卦]有奔雷手文泰來八卦嗎？,annasuiisme
7/29,,Re:[問卦]是誰讓亡國感流行起來的？,zalora
7/29,,[問卦]明年被統的話，誰要負最大責任？,korzen
7/29,4,[問卦]吸油面紙是什麼時候沒落的？,adl117980
7/29,9,[問卦]地獄魔鬼特訓到底在幹嘛？,Raphael666
7/29,1,Re:[問卦]遇過最扯不敢吃的食物是什麼？,PanaS0Nic
7/29,,Re:[問卦]鄉民眼中哪個YouTuber才是清流,posen2012
7/29,1,Re:[問卦]小馮接受了你的追蹤要求！,tetsuya0310
7/29,1,Re:[問卦]哪道豬肝料理最需看師傅功夫？,doggy1985
7/29,1,[問卦]遇過最扯不敢吃的食物是什麼？,Wrawra
7/29,,[問卦]買私菸的官員會不會變成世紀罪人？,haha27586
7/29,6,[問卦]台灣沒有跳傘484很可惜?,hebeshaman
7/29,,[問卦]客家義民不幫朝廷平亂林爽文會成功嗎？,LoveMakeLove
7/29,,Re:[問卦]蔣開穴是殺人魔頭?????,No3456p
7/29,3,[問卦]如何在大熱天西裝筆挺啊！？,AJhe0924
7/29,,Re:[問卦]小馮接受了你的追蹤要求！,KittyDog
7/29,,[問卦]超急在線等!枯葉散る夕暮れは,rondox
7/29,,[問卦]有人吃過壽司之神小野二郎的壽司嗎,metallican
